Id,DateaAndTime,WaterLevel,Depth
86,2017-04-25T12:25:00,0.00,40.00
87,2017-04-25T13:16:00,0.00,35.40
88,2017-04-25T14:14:00,0.00,27.60
89,2017-04-25T15:08:00,0.00,26.00
90,2017-04-25T15:15:00,0.00,31.40
91,2017-04-25T19:07:00,0.00,25.20
92,2017-04-25T19:12:00,0.00,28.60
93,2017-04-25T19:48:00,0.00,23.70
94,2017-04-25T19:00:00,0.00,25.20
95,2017-04-25T19:18:00,0.00,32.80
96,2017-04-25T19:43:00,0.00,24.60
97,2017-04-25T15:40:00,0.00,28.90
98,2017-04-25T15:35:00,0.00,26.00
99,2017-04-25T19:23:00,0.00,34.70
100,2017-04-25T19:28:00,0.00,38.50
101,2017-04-25T19:37:00,0.00,38.40
102,2017-04-12T13:47:00,0.00,34.00
103,2017-04-11T17:12:00,0.00,11.10
104,2017-04-11T17:02:00,0.00,14.50
105,2017-06-23T13:59:00,0.00,18.50
106,2017-04-06T12:41:00,0.00,8.20
107,2017-04-06T12:16:00,0.00,4.90
108,2017-04-06T12:24:00,0.00,6.00
109,2017-04-06T13:29:00,0.00,13.10
110,2017-04-06T16:42:00,0.00,13.60
111,2017-04-06T16:52:00,0.00,12.80
112,2017-04-04T15:15:00,0.00,17.70
113,2017-04-04T15:58:00,0.00,16.40
114,2017-04-04T16:02:00,0.00,21.10
115,2017-04-04T16:14:00,0.00,13.90
116,2017-04-04T16:10:00,0.00,12.40
117,2017-04-04T16:37:00,0.00,12.50
118,2017-04-04T16:28:00,0.00,22.50
119,2017-04-04T16:55:00,0.00,37.40
120,2017-04-05T14:00:00,0.00,13.70
121,2017-04-04T17:35:00,0.00,17.80
122,2017-04-04T12:02:00,0.00,26.40
123,2017-04-04T11:55:00,0.00,38.40
124,2017-04-05T12:23:00,0.00,21.80
125,2017-04-05T12:10:00,0.00,12.40
126,2017-04-04T13:38:00,0.00,11.90
127,2017-04-04T11:42:00,0.00,12.90
128,2017-04-04T11:23:00,0.00,27.30
129,2017-04-04T11:12:00,0.00,7.80
130,2017-04-04T10:12:00,0.00,18.20
131,2017-04-09T13:48:00,0.00,14.80
132,2017-04-09T19:01:00,0.00,14.70
133,2017-04-09T17:35:00,0.00,8.00
134,2017-04-09T14:16:00,0.00,6.10
135,2017-04-10T10:20:00,0.00,39.00
136,2017-04-10T09:16:00,0.00,25.40
137,2017-04-10T09:12:00,0.00,26.70
138,2017-04-10T09:01:00,0.00,14.60
139,2017-04-10T12:12:00,0.00,28.10
140,2017-04-10T16:37:00,0.00,6.50
141,2017-04-10T16:43:00,0.00,17.50
142,2017-04-10T16:48:00,0.00,13.70
143,2017-04-26T12:01:00,0.00,20.30
145,2017-04-24T15:30:00,0.00,15.40
146,2017-04-25T08:48:00,0.00,11.10
147,2017-04-25T09:00:00,0.00,14.80
148,2017-04-25T10:44:00,0.00,12.00
149,2017-04-25T10:47:00,0.00,8.70
150,2017-04-25T11:14:00,0.00,18.60
151,2017-04-25T14:07:00,0.00,19.60
152,2017-04-25T14:40:00,0.00,19.90
153,2017-04-25T14:55:00,0.00,18.80
154,2017-04-25T19:54:00,0.00,12.40
155,2017-04-25T15:30:00,0.00,5.80
156,2017-04-06T10:44:00,0.00,9.30
157,2017-04-05T14:18:00,0.00,10.50
158,2017-04-05T14:24:00,0.00,11.80
159,2017-04-05T14:46:00,0.00,5.60
160,2017-04-04T16:24:00,0.00,6.20
161,2017-04-04T17:29:00,0.00,4.30
162,2017-04-04T12:32:00,0.00,11.70
163,2017-04-03T17:33:00,0.00,10.60
164,2017-04-03T17:42:00,0.00,6.40
165,2017-04-04T08:07:00,0.00,9.30
166,2017-04-09T14:18:00,0.00,4.50
167,2017-04-09T15:22:00,0.00,4.00
168,2017-04-11T12:35:00,0.00,14.20
169,2017-04-11T18:32:00,0.00,4.50
170,2017-04-11T17:24:00,0.00,6.60
171,2017-04-12T14:28:00,0.00,4.20
172,2017-04-10T09:31:00,0.00,6.80
173,2017-06-22T16:00:00,0.00,3.00
174,2017-04-25T08:45:00,0.00,2.70
175,2017-04-25T09:20:00,0.00,5.70
176,2017-04-25T14:00:00,0.00,3.60
177,2017-04-25T18:53:00,0.00,4.10
179,2017-04-06T17:58:00,0.00,13.30
180,2017-04-12T13:41:00,0.00,19.00
181,2017-04-12T09:05:00,0.00,8.50
182,2017-04-11T15:43:00,0.00,15.20
183,2017-04-12T11:55:00,0.00,12.20
184,2017-06-22T13:00:00,0.00,5.70
185,2017-06-22T14:30:00,0.00,5.80
186,2017-06-22T14:10:00,0.00,18.10
187,2017-06-22T17:03:00,0.00,17.60
188,2017-06-23T11:59:00,0.00,16.50
189,2017-04-06T15:35:00,0.00,18.10
190,2017-04-06T15:39:00,0.00,12.80
191,2017-04-06T15:55:00,0.00,12.70
192,2017-04-06T18:10:00,0.00,9.00
193,2017-04-06T18:37:00,0.00,17.20
194,2017-04-04T09:25:00,0.00,11.00
195,2017-04-04T09:20:00,0.00,10.00
196,2017-04-12T11:09:00,0.00,4.90
197,2017-06-22T11:44:00,0.00,7.20
198,2017-04-10T18:28:00,0.00,11.00
199,2017-06-22T18:22:00,0.00,8.10
200,2017-04-24T17:25:00,0.00,18.30
201,2017-04-06T13:46:00,0.00,3.00
202,2017-04-06T14:10:00,0.00,12.70
203,2017-04-05T12:36:00,0.00,7.50
204,2017-04-04T10:07:00,0.00,8.30
205,2017-06-22T15:40:00,0.00,12.70
206,2017-06-22T12:30:00,0.00,10.50
207,2017-06-22T12:34:00,0.00,7.80
208,2017-04-24T16:55:00,0.00,9.70
209,2017-04-24T15:14:00,0.00,12.10
210,2017-04-25T11:58:00,0.00,8.30
211,2017-04-25T12:49:00,0.00,15.30
212,2017-04-25T12:33:00,0.00,12.40
213,2017-04-25T13:08:00,0.00,10.40
214,2017-04-25T13:04:00,0.00,11.90
215,2017-04-25T13:22:00,0.00,8.10
216,2017-04-25T13:31:00,0.00,10.00
217,2017-04-25T13:53:00,0.00,7.20
219,2017-04-03T11:43:00,0.00,10.00
220,2017-04-12T08:54:00,0.00,6.60
221,2017-04-12T11:37:00,0.00,14.50
222,2017-06-22T18:03:00,0.00,5.00
223,2017-06-22T17:54:00,0.00,7.60
224,2017-06-23T12:32:00,0.00,8.50
225,2017-04-06T17:52:00,0.00,11.00
226,2017-04-04T08:18:00,0.00,5.40
227,2017-04-04T09:00:00,0.00,8.40
228,2017-06-22T11:30:00,0.00,3.30
229,2017-06-22T11:52:00,0.00,6.40
230,2017-06-22T16:43:00,0.00,4.20
231,2017-06-23T14:10:00,0.00,3.40
232,2017-06-23T12:27:00,0.00,7.60
233,2017-04-06T11:57:00,0.00,3.80
234,2017-04-04T11:47:00,0.00,3.30
235,2017-04-03T19:29:00,0.00,4.90
236,2017-04-11T10:53:00,0.00,5.10
237,2017-04-25T11:06:00,0.00,5.50
238,2017-04-25T13:47:00,0.00,6.90
239,2017-04-11T15:16:00,0.00,24.90
240,2017-06-23T11:54:00,0.00,26.70
241,2017-06-23T10:32:00,0.00,20.20
242,2017-06-22T11:23:00,0.00,25.90
243,2017-04-06T11:48:00,0.00,11.30
244,2017-04-06T13:23:00,0.00,16.00
245,2017-04-24T17:20:00,0.00,15.40
246,2017-04-06T14:44:00,0.00,18.50
247,2017-04-06T18:25:00,0.00,19.80
248,2017-06-22T14:47:00,0.00,17.70
249,2017-04-06T11:32:00,0.00,12.30
250,2017-04-04T17:02:00,0.00,6.00
251,2017-04-04T08:55:00,0.00,12.60
